Capacity, Server threads, Client threads, Time taken in seconds,Throughput in MOPs
4194304,16,16,0.448951416,9.342445196787173
4194304,16,17,0.454095259,9.236617024446847
4194304,16,18,0.433962962,9.665119761994804
4194304,16,19,0.419117706,10.007460768073587
4194304,16,20,0.400968185,10.460440895079993
4194304,16,21,0.380636617,11.019181583363011
4194304,16,22,0.367081488,11.426084226835213
4194304,16,23,0.35107205,11.947131650041635
4194304,16,24,0.3445172,12.174440056984093
4194304,16,26,0.321097904,13.062383614936335
4194304,16,27,0.313506759,13.378671685990668
4194304,16,28,0.318417471,13.172342543980571
4194304,16,30,0.273319663,15.34578212911085
4194304,16,32,0.301763699,13.899299398500546
4194304,16,33,0.298658615,14.043807174288276
4194304,16,35,0.291157656,14.405611233523603
4194304,16,36,0.286012806,14.66474196963055
4194304,16,39,0.27255521,15.388823424068832
4194304,16,40,0.270349987,15.514348813340241
4194304,16,41,0.269944991,15.537624848908568
4194304,16,42,0.262677633,15.96749579359884
4194304,16,45,0.24632906,17.02723990421593
4194304,16,46,0.243515059,17.224002561582854
4194304,16,48,0.255977037,16.385469763836667
4194304,17,1,3.907220958,1.0734749954215412
4194304,17,2,2.155243612,1.9460927649416921
4194304,17,3,1.524886348,2.7505682672686635
4194304,17,4,1.144924098,3.663390444245851
4194304,17,5,0.96537526,4.344739474678478
4194304,17,6,0.84343645,4.972874956969195
4194304,17,7,0.763722824,5.491919146834349
4194304,17,8,0.672993957,6.232305589632509
4194304,17,9,0.620902561,6.755172652605632
4194304,17,10,0.574165602,7.305042282905691
4194304,17,11,0.54801833,7.653583412073097
4194304,17,12,0.512257333,8.187884740343971
4194304,17,14,0.464735469,9.025142860356974
4194304,17,15,0.455778226,9.202510696507034
4194304,17,16,0.44576515,9.409223668561797
4194304,17,17,0.437830996,9.579732906804068
4194304,17,18,0.444964849,9.426146828061018
4194304,17,19,0.422225801,9.933793695378649
4194304,17,20,0.408618094,10.264606637805912
4194304,17,21,0.394681763,10.62705296570797
4194304,17,22,0.379436433,11.054036026108225
4194304,17,23,0.362586688,11.567727494728103
4194304,17,24,0.352455819,11.90022628055972
4194304,17,25,0.33876389,12.381201550141604
4194304,17,26,0.324355632,12.931189059791015
4194304,17,30,0.285953778,14.667769138549378
4194304,17,31,0.279371648,15.013348813405718
4194304,17,32,0.307431983,13.643030757798547
4194304,17,34,0.294606807,14.236955495736389
4194304,17,35,0.299089009,14.023597904930034
4194304,17,37,0.290881505,14.419287331451342
4194304,17,39,0.283732243,14.782613197753488
4194304,17,40,0.279379798,15.012910847619697
4194304,17,44,0.255162806,16.43775621435986
4194304,17,45,0.257544071,16.28577192134235
4194304,17,51,0.245268173,17.100889808479145
4194304,17,52,0.247713234,16.93209495621861
4194304,17,55,0.237173843,17.684513380339332
4194304,18,1,4.068010239,1.0310455858220862
4194304,18,2,2.1341843,1.9652960618255886
4194304,18,3,1.483869084,2.8265997622199937
4194304,18,4,1.165267025,3.5994359318629137
4194304,18,5,0.966162015,4.341201511632601
4194304,18,6,0.846236645,4.956419725832129
4194304,18,7,0.768230937,5.459691608332092
4194304,18,8,0.683126907,6.139860627682756
4194304,18,9,0.625255873,6.7081401089054635
4194304,18,10,0.581556476,7.212204098987628
4194304,18,11,0.548773378,7.6430529762323856
4194304,18,12,0.515721418,8.132886968832462
4194304,18,13,0.494092794,8.48889935439941
4194304,18,14,0.469400296,8.935452396902622
